wob,incl,tp,fbit,dtft,ft
30.0,40.0,-0.0,974.0056,20.4545,230.4661
30.0,40.0,-0.5,829.9751,20.4545,324.881
30.0,40.0,-3.3812,-62.2585,16.3636,482.0528
30.0,40.0,-3.1802,14.9541,16.3636,332.6845
30.0,40.0,-3.2191,-0.0,16.3636,361.6131
