depth,dtb,radius,od,incl,hdng,x,y,dx,dy,dz,fx,fy,fz,friction,fn,fs
264.9999999999999,0.0,4.5,4.5,40.0,59.99999999999999,0.0,0.0,0.0,-0.0,-0.0,-4.0e-5,-0.00045,-143.11172,0.0,-29856.88828,0.0
260.9090909090908,4.090909090909091,4.499999999999999,3.5,40.131691986496214,59.99999999999999,-0.05641670266962808,0.0,-0.4213,0.0,-0.0016,-0.0,-0.0,-285.67066,0.0,-29571.21763,0.0
256.8181818181817,8.181818181818182,4.5,3.5,40.26338397299243,59.99999999999999,-0.2256665126341504,0.0,-0.7251,0.0,-0.0031,-0.0,-0.0,-285.11637,0.0,-29286.10126,0.0
252.7272727272726,12.272727272727273,4.5,3.5,40.395075959488636,59.99999999999999,-0.5077485357619745,0.0,-0.9143,0.0,-0.0046,-0.0,-0.0,-284.56058,0.0,-29001.54068,0.0
248.6363636363635,16.363636363636363,4.5,3.5,40.52676794598485,59.99999999999999,-0.9026612818390711,0.0,-1.0,0.0,-0.0061,361.61314,-0.00032,-284.00328,0.0,-28717.53739,0.0
244.54545454545442,20.454545454545457,4.5,3.5,40.658459932481065,59.99999999999999,-1.4104026645767918,0.0,-1.0,0.0,-0.0076,496.58249,-0.00048,-283.44449,0.0,-28434.0929,0.0
240.45454545454535,24.545454545454547,4.5,3.5,40.79015191897728,59.99999999999999,-2.0309700016229417,0.0,-0.9286,0.0,-0.0091,-0.0,-0.0,-282.8842,0.0,-28151.20871,0.0
236.36363636363626,28.636363636363637,4.5,3.5,40.921843905473494,59.99999999999999,-2.7643600145758924,0.0,-0.7942,0.0,-0.0106,-0.0,-0.0,-282.32241,0.0,-27868.8863,0.0
232.27272727272717,32.72727272727273,4.5,3.5,41.05353589196971,59.99999999999999,-3.6105688290019637,0.0,-0.6099,0.0,-0.012,-0.0,-0.0,-281.75913,0.0,-27587.12717,0.0
228.18181818181804,36.81818181818182,4.5,3.5,41.18522787846592,59.99999999999999,-4.569591974455826,0.0,-0.3965,0.0,-0.0134,-0.0,-0.0,-281.19436,0.0,-27305.93281,0.0
224.09090909090898,40.909090909090914,4.5,3.5,41.31691986496214,59.99999999999999,-5.641424384504186,0.0,-0.1817,0.0,-0.0149,-0.0,-0.0,-280.62811,0.0,-27025.3047,0.0
219.9999999999999,45.00000000000001,4.5,4.5,41.44861185145835,59.99999999999999,-6.8260603967524895,0.0,0.0,0.0,-0.0163,1902.07442,0.00082,-268.39119,0.0,-26756.91351,0.0
216.2499999999999,48.75000000000001,4.5,3.5,41.56932950574654,59.99999999999999,-8.011066196303238,0.0,0.1116,-0.0,-0.0175,-0.0,-0.0,-256.24376,0.0,-26500.66974,0.0
212.4999999999999,52.50000000000001,4.5,3.5,41.69004716003473,59.99999999999999,-9.290847840262035,0.0,0.1779,-0.0,-0.0188,-0.0,-0.0,-255.76438,0.0,-26244.90536,0.0
208.7499999999999,56.25000000000001,4.5,3.5,41.81076481432292,59.99999999999999,-10.665399647534205,0.0,0.2112,-0.0,-0.0201,-0.0,-0.0,-255.28386,0.0,-25989.62151,0.0
204.9999999999999,60.00000000000001,4.5,3.5,41.931482468611115,59.99999999999999,-12.13471551632965,0.0,0.2194,-0.0,-0.0213,-0.0,-0.0,-254.80221,0.0,-25734.8193,0.0
201.2499999999999,63.75000000000001,4.5,3.5,42.05220012289931,59.99999999999999,-13.69878892418994,0.0,0.2059,-0.0,-0.0225,-0.0,-0.0,-254.31942,0.0,-25480.49988,0.0
197.4999999999999,67.50000000000001,4.5,3.5,42.1729177771875,59.99999999999999,-15.357612928017286,0.0,0.1696,-0.0,-0.0237,-0.0,-0.0,-253.83551,0.0,-25226.66437,0.0
193.7499999999999,71.25000000000001,4.5,3.5,42.293635431475685,60.00000000000001,-17.11118016410533,6.716134899983672e-15,0.1045,-0.0,-0.0249,-0.0,-0.0,-253.35047,0.0,-24973.3139,0.0
189.9999999999999,75.00000000000001,4.5,4.5,42.41435308576388,59.99999999999999,-18.959482848171863,1.3447842354774351e-14,0.0,0.0,-0.0261,1763.90901,-0.00204,-264.35814,0.0,-24708.95576,0.0
185.90909090909076,79.09090909090911,4.5,3.5,42.54604507226009,59.99999999999998,-21.08384885825135,6.08643591760523e-15,-0.1663,0.0,-0.0274,-0.0,-0.0,-275.272,0.0,-24433.68377,0.0
181.81818181818167,83.1818181818182,4.5,3.5,42.67773705875631,59.99999999999999,-23.320936889584313,-1.2934286934620356e-15,-0.3608,0.0,-0.0287,-0.0,-0.0,-274.69057,0.0,-24158.9932,0.0
177.7272727272726,87.2727272727273,4.5,3.5,42.80942904525252,59.99999999999999,-25.67073512383522,-1.2934286934620356e-15,-0.5538,0.0,-0.0299,-0.0,-0.0,-274.10769,0.0,-23884.88551,0.0
173.6363636363635,91.36363636363637,4.5,3.5,42.941121031748736,59.99999999999999,-28.133231147230628,-1.2934286934620356e-15,-0.723,0.0,-0.0312,-0.0,-0.0,-273.52337,0.0,-23611.36214,0.0
169.54545454545442,95.45454545454545,4.5,3.5,43.07281301824495,59.99999999999999,-30.708411950624804,-1.2934286934620356e-15,-0.8542,0.0,-0.0324,-0.0,-0.0,-272.93759,0.0,-23338.42455,0.0
165.45454545454535,99.54545454545455,4.5,3.5,43.204505004741165,59.99999999999999,-33.39626392956839,-1.2934286934620356e-15,-0.9411,0.0,-0.0336,-0.0,-0.0,-272.35038,0.0,-23066.07417,0.0
161.36363636363626,103.63636363636363,4.5,3.5,43.33619699123737,59.99999999999999,-36.19677288438034,-1.2934286934620356e-15,-0.9861,0.0,-0.0348,-0.0,-0.0,-271.76173,0.0,-22794.31243,0.0
157.27272727272717,107.7272727272727,4.5,3.5,43.46788897773359,59.99999999999999,-39.10992402022287,-1.2934286934620356e-15,-1.0,0.0,-0.036,282.27914,-0.0009,-271.17164,0.0,-22523.14079,0.0
153.1818181818181,111.8181818181818,4.5,3.5,43.5995809642298,59.99999999999999,-42.13570194717968,-1.2934286934620356e-15,-1.0,0.0,-0.0372,826.12513,-0.00251,-270.58012,0.0,-22252.56067,0.0
149.090909090909,115.90909090909088,4.5,3.5,43.731272950726016,59.99999999999998,-45.27409068033722,-8.819547010139595e-15,-1.0,0.0,-0.0383,108.6157,-0.00031,-269.98717,0.0,-21982.57349,0.0
144.99999999999991,119.99999999999996,4.5,3.5,43.86296493722223,59.99999999999999,-48.525073639869134,-1.6363769130606452e-14,-1.0,0.0,-0.0395,90.29207,-0.00024,-269.3928,0.0,-21713.1807,0.0
140.90909090909085,124.09090909090905,4.5,3.5,43.994656923718445,59.99999999999999,-51.888633651123854,-1.6363769130606452e-14,-1.0,0.0,-0.0406,892.02252,-0.00211,-268.797,0.0,-21444.3837,0.0
136.81818181818176,128.18181818181813,4.5,3.5,44.12634891021466,59.99999999999999,-55.364752944715384,-1.6363769130606452e-14,-1.0,0.0,-0.0417,233.19886,-0.00049,-268.19978,0.0,-21176.18392,0.0
132.72727272727266,132.27272727272722,4.5,3.5,44.258040896710874,60.00000000000001,-58.95341315661708,-8.765475112976671e-15,-0.9852,0.0,-0.0428,-0.0,-0.0,-267.60114,0.0,-20908.58277,0.0
128.6363636363636,136.3636363636363,4.5,3.5,44.38973288320709,59.99999999999999,-62.65459532825874,-1.1492372850909409e-15,-0.9383,0.0,-0.0439,-0.0,-0.0,-267.0011,0.0,-20641.58168,0.0
124.5454545454545,140.45454545454538,4.5,3.5,44.5214248697033,59.99999999999999,-66.46827990662673,-1.1492372850909409e-15,-0.8495,0.0,-0.045,-0.0,-0.0,-266.39964,0.0,-20375.18204,0.0
120.45454545454542,144.54545454545448,4.5,3.5,44.65311685619951,59.99999999999999,-70.39444674436729,-1.1492372850909409e-15,-0.7178,0.0,-0.0461,-0.0,-0.0,-265.79677,0.0,-20109.38527,0.0
116.36363636363633,148.63636363636354,4.5,3.5,44.784808842695725,59.99999999999999,-74.43307509989295,-1.1492372850909409e-15,-0.5512,0.0,-0.0471,-0.0,-0.0,-265.1925,0.0,-19844.19278,0.0
112.27272727272725,152.72727272727263,4.5,3.5,44.91650082919194,59.99999999999999,-78.58414363749215,-1.1492372850909409e-15,-0.3664,0.0,-0.0481,-0.0,-0.0,-264.58682,0.0,-19579.60595,0.0
108.18181818181817,156.81818181818173,4.5,3.5,45.048192815688154,59.99999999999999,-82.8476304274419,-1.1492372850909409e-15,-0.189,0.0,-0.0492,-0.0,-0.0,-263.97975,0.0,-19315.6262,0.0
104.09090909090908,160.9090909090908,4.5,3.5,45.17988480218437,59.99999999999999,-87.22351294612369,-1.1492372850909409e-15,-0.0529,-0.0,-0.0502,-0.0,-0.0,-263.37129,0.0,-19052.25491,0.0
100.0,164.9999999999999,4.5,4.5,45.31157678868058,59.99999999999999,-91.71176807614242,-1.1492372850909409e-15,0.0,-0.0,-0.0511,3034.89133,-0.003,-259.84186,0.0,-18792.41305,0.0
96.0,168.9999999999999,4.5,3.5,45.44034228658799,59.99999999999999,-96.20891601016905,-1.1492372850909409e-15,-0.0594,0.0,-0.0521,-0.0,-0.0,-256.33792,0.0,-18536.07513,0.0
92.0,172.9999999999999,4.5,3.5,45.569107784495394,59.99999999999999,-100.81345232815364,-1.1492372850909409e-15,-0.1981,0.0,-0.053,-0.0,-0.0,-255.75226,0.0,-18280.32286,0.0
88.0,176.9999999999999,4.5,3.5,45.6978732824028,59.99999999999999,-105.52535377385742,-1.1492372850909409e-15,-0.3756,0.0,-0.054,-0.0,-0.0,-255.16531,0.0,-18025.15755,0.0
84.0,180.9999999999999,4.5,3.5,45.82663878031021,59.99999999999999,-110.34459654877003,-1.1492372850909409e-15,-0.5591,0.0,-0.0549,-0.0,-0.0,-254.57707,0.0,-17770.58048,0.0
80.0,184.9999999999999,4.5,3.5,45.95540427821762,59.99999999999999,-115.27115631222975,-1.1492372850909409e-15,-0.7238,0.0,-0.0558,-0.0,-0.0,-253.98755,0.0,-17516.59293,0.0
76.0,188.9999999999999,4.5,3.5,46.08416977612502,59.99999999999999,-120.30500818154648,-1.1492372850909409e-15,-0.8534,0.0,-0.0567,-0.0,-0.0,-253.39674,0.0,-17263.19619,0.0
72.0,192.9999999999999,4.5,3.5,46.21293527403243,59.99999999999999,-125.4461267321274,-1.1492372850909409e-15,-0.9404,0.0,-0.0576,-0.0,-0.0,-252.80465,0.0,-17010.39154,0.0
68.0,196.9999999999999,4.5,3.5,46.34170077193984,59.99999999999999,-130.69448599760528,-1.1492372850909409e-15,-0.9859,0.0,-0.0584,-0.0,-0.0,-252.21128,0.0,-16758.18026,0.0
64.0,200.9999999999999,4.5,3.5,46.47046626984725,59.99999999999999,-136.05005946996982,-1.1492372850909409e-15,-1.0,0.0,-0.0593,297.97647,-0.00078,-251.61664,0.0,-16506.56361,0.0
