wob,incl,tp,fbit,dtft,ft
20.0,30.0,-0.0,844.3792,45.0,1932.2832
20.0,30.0,-0.5,756.0218,45.0,1975.0042
20.0,30.0,-4.7782,-521.715,16.3636,997.4883
20.0,30.0,-3.0314,78.5414,16.3636,97.9761
20.0,30.0,-3.2599,-6.2688,16.3636,270.1462
20.0,30.0,-3.243,-0.0,16.3636,257.42
