wob,incl,tp,fbit,dtft,ft
30.0,30.0,-0.0,835.1592,45.0,1959.8299
30.0,30.0,-0.5,727.2693,20.4545,7.2863
30.0,30.0,-3.8704,-332.6266,16.3636,689.4263
30.0,30.0,-2.8127,61.5819,20.4545,447.9599
30.0,30.0,-2.9779,4.2212,16.3636,75.836
30.0,30.0,-2.9901,-0.447,16.3636,84.8753
