depth,dtb,radius,od,incl,hdng,x,y,dx,dy,dz,fx,fy,fz,friction,fn,fs
264.9999999999999,0.0,4.5,4.5,40.0,59.99999999999999,0.0,0.0,0.0,0.0,-0.0,-1.0e-5,-0.00051,-143.11172,0.0,-39856.88828,0.0
260.9090909090908,4.090909090909091,4.499999999999999,3.5,40.12166302612769,59.99999999999999,-0.05212030872120632,0.0,-0.4161,0.0,-0.0021,-0.0,-0.0,-285.71281,0.0,-39571.17548,0.0
256.8181818181817,8.181818181818182,4.5,3.5,40.243326052255384,59.99999999999999,-0.20848099987893054,0.0,-0.7202,0.0,-0.0041,-0.0,-0.0,-285.20089,0.0,-39285.97459,0.0
252.7272727272726,12.272727272727273,4.5,3.5,40.36498907838308,59.99999999999999,-0.469081368456494,0.0,-0.9121,0.0,-0.0062,-0.0,-0.0,-284.68769,0.0,-39001.2869,0.0
248.6363636363635,16.363636363636363,4.5,3.5,40.486652104510775,59.99999999999999,-0.8339202394296688,0.0,-1.0,0.0,-0.0082,194.89618,-0.00021,-284.17321,0.0,-38717.11369,0.0
244.54545454545442,20.454545454545457,4.5,3.5,40.608315130638466,59.99999999999999,-1.3029959677719236,0.0,-1.0,0.0,-0.0102,579.78236,-0.00069,-283.65744,0.0,-38433.45625,0.0
240.45454545454535,24.545454545454547,4.5,3.5,40.729978156766165,59.99999999999999,-1.876306438461882,0.0,-0.9282,0.0,-0.0122,-0.0,-0.0,-283.14039,0.0,-38150.31586,0.0
236.36363636363626,28.636363636363637,4.5,3.5,40.85164118289386,59.99999999999999,-2.5538490664928277,0.0,-0.7937,0.0,-0.0142,-0.0,-0.0,-282.62207,0.0,-37867.69378,0.0
232.27272727272717,32.72727272727273,4.5,3.5,40.97330420902155,59.99999999999999,-3.3356207968843865,0.0,-0.6098,0.0,-0.0162,-0.0,-0.0,-282.10248,0.0,-37585.5913,0.0
228.18181818181804,36.81818181818182,4.5,3.5,41.09496723514924,59.99999999999999,-4.221618104696278,0.0,-0.3971,0.0,-0.0181,-0.0,-0.0,-281.58161,0.0,-37304.00969,0.0
224.09090909090898,40.909090909090914,4.5,3.5,41.21663026127694,59.99999999999999,-5.21183699504424,0.0,-0.1827,0.0,-0.0201,-0.0,-0.0,-281.05947,0.0,-37022.95022,0.0
219.9999999999999,45.00000000000001,4.5,4.5,41.33829328740463,59.99999999999999,-6.306273003117996,0.0,0.0,0.0,-0.022,1737.2703,0.00093,-268.84706,0.0,-36754.10316,0.0
216.2499999999999,48.75000000000001,4.5,3.5,41.449817728021685,59.99999999999999,-7.401053614436486,0.0,0.1147,-0.0,-0.0237,-0.0,-0.0,-256.71724,0.0,-36497.38592,0.0
212.4999999999999,52.50000000000001,4.5,3.5,41.56134216863873,59.99999999999999,-8.583397262101204,0.0,0.1848,-0.0,-0.0255,-0.0,-0.0,-256.27544,0.0,-36241.11048,0.0
208.7499999999999,56.25000000000001,4.5,3.5,41.672866609255784,59.99999999999999,-9.85329946652049,0.0,0.2208,-0.0,-0.0272,-0.0,-0.0,-255.83267,0.0,-35985.2778,0.0
204.9999999999999,60.00000000000001,4.5,3.5,41.78439104987283,59.99999999999999,-11.210755416366148,0.0,0.2299,-0.0,-0.0289,-0.0,-0.0,-255.38894,0.0,-35729.88887,0.0
201.2499999999999,63.75000000000001,4.5,3.5,41.895915490489884,59.99999999999999,-12.655759968591676,0.0,0.2152,-0.0,-0.0306,-0.0,-0.0,-254.94423,0.0,-35474.94463,0.0
197.4999999999999,67.50000000000001,4.5,3.5,42.00743993110693,59.99999999999999,-14.188307648451769,0.0,0.1759,-0.0,-0.0323,-0.0,-0.0,-254.49856,0.0,-35220.44607,0.0
