depth,dtb,radius,od,incl,hdng,x,y,dx,dy,dz,fx,fy,fz,friction,fn,fs
264.9999999999999,0.0,4.5,4.5,20.0,59.99999999999999,0.0,0.0,0.0,0.0,-0.0,6.0e-5,-0.00097,-175.55251,0.0,-19824.44749,0.0
260.9090909090908,4.090909090909091,4.499999999999999,3.5,20.120741628962744,59.99999999999999,-0.05172558331957996,0.0,-0.4084,0.0,-0.001,-0.0,-0.0,-350.83494,0.0,-19473.61255,0.0
256.8181818181817,8.181818181818182,4.5,3.5,20.241483257925488,59.99999999999999,-0.2069021035714254,0.0,-0.7099,0.0,-0.002,-0.0,-0.0,-350.5633,0.0,-19123.04925,0.0
252.7272727272726,12.272727272727273,4.5,3.5,20.36222488688823,59.99999999999999,-0.46552887163586687,0.0,-0.9048,0.0,-0.003,-0.0,-0.0,-350.2901,0.0,-18772.75915,0.0
248.6363636363635,16.363636363636363,4.5,3.5,20.482966515850975,59.99999999999999,-0.8276047389835255,0.0,-0.9982,0.0,-0.004,-0.0,-0.0,-350.01535,0.0,-18422.74379,0.0
244.54545454545442,20.454545454545457,4.5,3.5,20.60370814481372,59.99999999999999,-1.2931280976804143,0.0,-1.0,0.0,-0.005,152.62912,-0.00026,-349.73905,0.0,-18073.00474,0.0
240.45454545454535,24.545454545454547,4.5,3.5,20.724449773776463,59.99999999999999,-1.8620968803950726,0.0,-0.9237,0.0,-0.0059,-0.0,-0.0,-349.46119,0.0,-17723.54355,0.0
236.36363636363626,28.636363636363637,4.5,3.5,20.845191402739207,59.99999999999999,-2.5345085604077524,0.0,-0.7835,0.0,-0.0068,-0.0,-0.0,-349.18178,0.0,-17374.36177,0.0
232.27272727272717,32.72727272727273,4.5,3.5,20.96593303170195,59.99999999999999,-3.310360151621636,0.0,-0.5973,0.0,-0.0077,-0.0,-0.0,-348.90082,0.0,-17025.46095,0.0
228.18181818181804,36.81818181818182,4.5,3.5,21.086674660664695,59.99999999999999,-4.189648208576095,0.0,-0.3868,0.0,-0.0086,-0.0,-0.0,-348.61831,0.0,-16676.84264,0.0
224.09090909090898,40.909090909090914,4.5,3.5,21.20741628962744,59.99999999999999,-5.1723688264620025,0.0,-0.1779,0.0,-0.0095,-0.0,-0.0,-348.33425,0.0,-16328.50839,0.0
219.9999999999999,45.00000000000001,4.5,4.5,21.328157918590186,59.99999999999999,-6.258517641139056,0.0,0.0,0.0,-0.0103,1407.35055,0.00083,-333.54662,0.0,-15994.96176,0.0
216.2499999999999,48.75000000000001,4.5,3.5,21.438837745139367,59.99999999999999,-7.34500870896346,0.0,0.1144,-0.0,-0.0111,-0.0,-0.0,-318.80336,0.0,-15676.1584,0.0
212.4999999999999,52.50000000000001,4.5,3.5,21.54951757168855,59.99999999999999,-8.518400087358936,0.0,0.1859,-0.0,-0.0119,-0.0,-0.0,-318.56094,0.0,-15357.59746,0.0
208.7499999999999,56.25000000000001,4.5,3.5,21.66019739823773,59.99999999999999,-9.77868739773393,0.0,0.2229,-0.0,-0.0126,-0.0,-0.0,-318.31733,0.0,-15039.28013,0.0
204.9999999999999,60.00000000000001,4.5,3.5,21.770877224786915,59.99999999999999,-11.12586593723872,0.0,0.2312,-0.0,-0.0133,-0.0,-0.0,-318.07253,0.0,-14721.2076,0.0
201.2499999999999,63.75000000000001,4.5,3.5,21.8815570513361,59.99999999999999,-12.559930678782877,0.0,0.214,-0.0,-0.014,-0.0,-0.0,-317.82655,0.0,-14403.38106,0.0
197.4999999999999,67.50000000000001,4.5,3.5,21.99223687788528,59.99999999999999,-14.080876271054104,0.0,0.1717,-0.0,-0.0147,-0.0,-0.0,-317.57937,0.0,-14085.80168,0.0
193.7499999999999,71.25000000000001,4.5,3.5,22.102916704434463,60.00000000000001,-15.688697038538132,3.750763413545226e-15,0.1021,-0.0,-0.0154,-0.0,-0.0,-317.33102,0.0,-13768.47066,0.0
189.9999999999999,75.00000000000001,4.5,4.5,22.213596530983647,59.99999999999999,-17.383386981539974,7.519410156463143e-15,0.0,-0.0,-0.016,1127.57296,-0.00341,-331.49427,0.0,-13436.97639,0.0
185.90909090909076,79.09090909090911,4.5,3.5,22.33433815994639,59.99999999999998,-19.331206200373675,3.3877797053896216e-15,-0.1513,0.0,-0.0167,-0.0,-0.0,-345.60862,0.0,-13091.36777,0.0
181.81818181818167,83.1818181818182,4.5,3.5,22.455079788909135,59.99999999999999,-21.382390738357547,-7.65098300818504e-16,-0.3253,0.0,-0.0174,-0.0,-0.0,-345.30864,0.0,-12746.05913,0.0
177.7272727272726,87.2727272727273,4.5,3.5,22.57582141787188,59.99999999999999,-23.53693148643563,-7.65098300818504e-16,-0.5006,0.0,-0.0181,-0.0,-0.0,-345.00713,0.0,-12401.05201,0.0
173.6363636363635,91.36363636363637,4.5,3.5,22.696563046834623,59.99999999999999,-25.794818876559862,-7.65098300818504e-16,-0.6608,0.0,-0.0187,-0.0,-0.0,-344.70408,0.0,-12056.34793,0.0
