wob,incl,tp,fbit,dtft,ft
20.0,40.0,-0.0,1023.423,20.4545,136.191
20.0,40.0,-0.5,886.5671,20.4545,251.2287
20.0,40.0,-3.7391,-95.6863,16.3636,739.8985
20.0,40.0,-3.4235,21.4444,16.3636,502.0493
20.0,40.0,-3.4813,-0.0001,16.3636,545.5946
