wob,incl,tp,fbit,dtft,ft
20.0,20.0,-0.0,582.8937,45.0,1266.1712
20.0,20.0,-0.5,494.9944,45.0,1310.7399
20.0,20.0,-3.3157,-125.2259,16.3636,197.8968
20.0,20.0,-2.7472,55.8723,20.4545,104.822
20.0,20.0,-2.9226,7.8993,20.4545,145.87
20.0,20.0,-2.9515,0.0001,20.4545,152.6291
