wob,incl,tp,fbit,dtft,ft
30.0,20.0,-0.0,576.5624,45.0,1284.7269
30.0,20.0,-0.5,472.0142,45.0,1292.0716
30.0,20.0,-2.7574,-35.4147,20.4545,86.5584
30.0,20.0,-2.5999,9.9221,20.4545,56.2642
30.0,20.0,-2.6343,-0.0,20.4545,62.8942
